,uid,forward_level,comment_level,like_level
0,d38e9bed5d98110dc2489d0d1cac3c2a,1.0,1.0,1.0
2294,fa13974743d3fe6ff40d21b872325e9e,1.0,1.0,1.0
2427,da534fe87e7a52777bee5c30573ed5fd,1.0,1.0,1.0
2455,e06a22b7e065e559a1f0bf7841a85c51,2.0,3.0,2.0
2896,f9828598f9664d4e347ef2048ce17734,1.0,1.0,1.0
2949,d80f3d3c5c1d658e82b837a4dd1af849,1.0,2.0,1.0
3014,f349a67d1cd7c8683c5bbc5f8486e193,1.0,1.0,1.0
3124,24b621c98f2594b698c0b1d60c9ae6db,1.0,1.0,1.0
3133,e44d81d630e4f382f657e72aa4b685da,1.0,2.0,1.0
3134,fbe6c953632e1b3dda66cf6118b6ab12,1.0,1.0,1.0
3298,f9a3ca6bc1e75d173cfc98ec4b108072,3.0,3.0,3.0
3369,3c68bbb9da57fcc752c8a493d91bdd3a,1.0,1.0,1.0
3419,104e8d55e98eb3cd834810088af039fe,3.0,2.0,3.0
3718,0d15005d6397fb5ce1d45e7c834f7370,1.0,1.0,1.0
3787,875a4a77b339d93f819e2c4de5bd0b57,1.0,1.0,1.0
34802,380a2219670f50dc87efce3380bea6e8,1.0,1.0,1.0
34845,b9b88b0fc105fb08a552e782afa4342e,1.0,1.0,1.0
34884,f18eb14365c0d7248fab1b9c464f4e70,1.0,1.0,1.0
34886,0fc17bf5e2dc789dd48505df1f5b14fd,1.0,1.0,1.0
34925,dd749a5af07c04ce7de451273a983671,1.0,1.0,1.0
35150,a984551b159fcdc0a48f9e38ecb1488f,1.0,1.0,1.0
35169,2e0467b73d0f6f9e5607a6174581fdd8,1.0,2.0,1.0
35732,819656f05994b00b7260daf7346586a7,1.0,1.0,1.0
35763,91ce7c63b272f2037a3e702c10163fa3,1.0,1.0,1.0
37691,4680e73f9e7a6b87dec62a86a7821c17,1.0,1.0,1.0
37717,976e85e3ededdd9b2c2a3179eb7ae8ab,1.0,1.0,1.0
37796,6623347e5f19f35f2d02ad515b96524c,1.0,1.0,1.0
38350,cf727e70b6661387cf6aadf01d2eb32c,1.0,1.0,1.0
39529,de0836c1c5d40a5cae64a964a0b54894,3.0,2.0,4.0
40587,c8848f18da5911d0389c3ac70fe13204,1.0,2.0,1.0
40695,5c1e6c9b61a4b279109b3a073f186fc9,1.0,2.0,1.0
40789,678939d41658af34419bc341f0a5e9f8,1.0,1.0,1.0
40819,cb5bfd1b44005f77d69083a7c6a0216d,1.0,1.0,1.0
40834,100bdb8a475c638379fd7b774fd64c3b,1.0,1.0,1.0
